"","activityLabel","variable","mean"
"1","LAYING","tBodyAcc.mean...X",0.26919100708877
"2","LAYING","tBodyAcc.mean...Y",-0.0183452479771855
"3","LAYING","tBodyAcc.mean...Z",-0.107168709636461
"4","LAYING","tBodyAcc.std...X",-0.959475238302061
"5","LAYING","tBodyAcc.std...Y",-0.937608935448472
"6","LAYING","tBodyAcc.std...Z",-0.941635287283866
"7","LAYING","tGravityAcc.mean...X",-0.370854938686567
"8","LAYING","tGravityAcc.mean...Y",0.632926187069652
"9","LAYING","tGravityAcc.mean...Z",0.57557155056091
"10","LAYING","tGravityAcc.std...X",-0.941599380704335
"11","LAYING","tGravityAcc.std...Y",-0.957061403069012
"12","LAYING","tGravityAcc.std...Z",-0.943600986262971
"13","LAYING","tBodyAccJerk.mean...X",0.0815722575616205
"14","LAYING","tBodyAccJerk.mean...Y",0.0113483623410661
"15","LAYING","tBodyAccJerk.mean...Z",-0.00532249999608209
"16","LAYING","tBodyAccJerk.std...X",-0.980429538464819
"17","LAYING","tBodyAccJerk.std...Y",-0.970716016723525
"18","LAYING","tBodyAccJerk.std...Z",-0.979334766545842
"19","LAYING","tBodyGyro.mean...X",-0.0167611908027991
"20","LAYING","tBodyGyro.mean...Y",-0.091660815198081
"21","LAYING","tBodyGyro.mean...Z",0.127147917707889
"22","LAYING","tBodyGyro.std...X",-0.965341869218906
"23","LAYING","tBodyGyro.std...Y",-0.963438605707178
"24","LAYING","tBodyGyro.std...Z",-0.961435198422175
"25","LAYING","tBodyGyroJerk.mean...X",-0.102019624959062
"26","LAYING","tBodyGyroJerk.mean...Y",-0.0382683832088763
"27","LAYING","tBodyGyroJerk.mean...Z",-0.0639964642257285
"28","LAYING","tBodyGyroJerk.std...X",-0.975493723411514
"29","LAYING","tBodyGyroJerk.std...Y",-0.981437634278607
"30","LAYING","tBodyGyroJerk.std...Z",-0.984583429004975
"31","LAYING","tBodyAccMag.mean..",-0.933298701817342
"32","LAYING","tBodyAccMag.std..",-0.925425270312722
"33","LAYING","tGravityAccMag.mean..",-0.933298701817342
"34","LAYING","tGravityAccMag.std..",-0.925425270312722
"35","LAYING","tBodyAccJerkMag.mean..",-0.979067883653163
"36","LAYING","tBodyAccJerkMag.std..",-0.974099433837953
"37","LAYING","tBodyGyroMag.mean..",-0.935764661371713
"38","LAYING","tBodyGyroMag.std..",-0.937939730744847
"39","LAYING","tBodyGyroJerkMag.mean..",-0.983166670739161
"40","LAYING","tBodyGyroJerkMag.std..",-0.977324912189055
"41","LAYING","fBodyAcc.mean...X",-0.96623357050462
"42","LAYING","fBodyAcc.mean...Y",-0.948790913989339
"43","LAYING","fBodyAcc.mean...Z",-0.956210691862118
"44","LAYING","fBodyAcc.std...X",-0.957307907502701
"45","LAYING","fBodyAcc.std...Y",-0.936034910177683
"46","LAYING","fBodyAcc.std...Z",-0.938502036889055
"47","LAYING","fBodyAccJerk.mean...X",-0.980189178550107
"48","LAYING","fBodyAccJerk.mean...Y",-0.97089486137882
"49","LAYING","fBodyAccJerk.mean...Z",-0.97631433684435
"50","LAYING","fBodyAccJerk.std...X",-0.98256876949538
"51","LAYING","fBodyAccJerk.std...Y",-0.972728982835821
"52","LAYING","fBodyAccJerk.std...Z",-0.981007056687989
"53","LAYING","fBodyGyro.mean...X",-0.960446780433049
"54","LAYING","fBodyGyro.mean...Y",-0.968139785280739
"55","LAYING","fBodyGyro.mean...Z",-0.962619007583511
"56","LAYING","fBodyGyro.std...X",-0.967206952885572
"57","LAYING","fBodyGyro.std...Y",-0.961463062750533
"58","LAYING","fBodyGyro.std...Z",-0.964692895927505
"59","LAYING","fBodyAccMag.mean..",-0.943950932251599
"60","LAYING","fBodyAccMag.std..",-0.927962071920256
"61","LAYING","fBodyBodyAccJerkMag.mean..",-0.9741812297086
"62","LAYING","fBodyBodyAccJerkMag.std..",-0.97302950880597
"63","LAYING","fBodyBodyGyroMag.mean..",-0.953724931549396
"64","LAYING","fBodyBodyGyroMag.std..",-0.939025835269367
"65","LAYING","fBodyBodyGyroJerkMag.mean..",-0.978582414975124
"66","LAYING","fBodyBodyGyroJerkMag.std..",-0.977124064577114
